Student ID,Study Hours per Week,Attendance Rate,Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
S00178,6.7,61.3,59.4,Yes,Associate,No
S00179,20.7,73,44,Yes,Doctorate,No
S00180,10.9,89.6,65.2,Yes,Master,No
S00181,14.3,60.6,39.4,Yes,High School,No
S00182,9.4,77.8,65.7,Yes,Bachelor,No
S00183,12.5,31.2,54.4,No,Associate,No
S00184,14.3,86,48.5,No,Doctorate,No
S00185,8.3,42.3,65.5,No,Associate,No
S00186,6.7,85.3,67.3,No,Doctorate,No
S00187,18.8,93.8,43,No,Bachelor,No
S00188,12,45.6,34.7,No,Master,No
S00189,3.7,42.8,28.2,No,Master,No
S00190,14.6,100,70.1,No,High School,Yes
S00191,20.6,58.6,49.2,Yes,Associate,No
S00192,15.2,64.5,72.5,No,Master,No
S00193,7.6,51.6,73.9,Yes,High School,No
S00194,16.3,69.7,61.6,No,Bachelor,No
S00195,6.5,92.8,92.7,Yes,Bachelor,Yes
S00196,12.2,46.6,58.1,No,Master,No
S00197,13.9,65,51.5,Yes,Master,No
S00198,5.4,52.5,70,Yes,Doctorate,No
S00199,9.7,59.5,76.6,No,Master,No
S00200,4.9,100,81.7,Yes,High School,Yes
S00201,8.7,80.2,40.6,No,Bachelor,No
S00202,3.8,85.6,34.2,Yes,Master,No
S00203,18.2,85.1,59.8,No,Associate,No
S00204,7.8,79.8,71.2,Yes,Associate,Yes
S00205,10.7,49.1,70.3,Yes,Bachelor,No
S00206,17.2,55.8,69.6,Yes,Bachelor,No
S00207,2.8,73.3,83.4,Yes,Master,Yes
S00208,12.3,97.9,79.4,No,Doctorate,Yes
S00209,7,74.3,60.7,Yes,Master,No
S00210,10.3,86.6,59.9,No,Doctorate,No
S00211,8.1,63.7,63.5,Yes,Doctorate,No
S00212,13.3,57.1,32.5,Yes,High School,No
S00213,3.8,77.8,55.2,No,Associate,No
S00214,20.7,73,59.4,Yes,Doctorate,No
S00215,0.2,69.4,62.1,No,High School,No
S00216,12.9,81.9,57.6,No,Doctorate,No
S00217,11.4,47.7,81,No,High School,No
S00218,9,63.3,89.5,No,Doctorate,No
S00219,7.5,100,68.8,Yes,Associate,No
S00220,7.1,68.7,56.4,Yes,Associate,No
S00221,14.2,65.4,56,Yes,Bachelor,No
S00222,11.8,63.7,59.5,No,Bachelor,No
S00223,6.5,65.6,52.2,Yes,High School,No
S00224,14.5,87.1,71.2,No,High School,Yes
S00225,14.1,94.7,64.8,Yes,Associate,No
S00226,13.1,84.3,60.4,Yes,Associate,No
S00227,7.2,82.5,68.8,Yes,Doctorate,No
S00228,13.7,98.9,59.7,Yes,High School,No
S00229,9.9,80.6,62.8,No,Bachelor,No
S00230,10.6,83.5,75.1,Yes,Master,Yes
S00231,16.4,51.9,53.3,No,High School,No
S00232,7,100,58,Yes,Doctorate,No
S00233,12.7,85.6,36.5,No,Associate,No
S00234,9,87.6,48.9,Yes,Master,No
S00235,15.5,29,58.4,No,Associate,No
S00236,14.1,69.7,35.6,No,Bachelor,No
S00237,14.1,76.5,72.9,Yes,Doctorate,Yes
S00238,16.5,58.5,51.8,Yes,Bachelor,No
S00239,13.4,68.2,70.5,No,Master,Yes
S00240,8.4,90.4,77.5,No,Master,Yes
S00241,11.6,100,100,Yes,Bachelor,Yes
S00242,10.5,63.7,61.8,Yes,Doctorate,No
S00243,5.9,77,48.2,Yes,High School,No
S00244,20.5,79.4,62.7,Yes,Doctorate,No
S00245,3.9,66.2,98.8,Yes,Master,Yes
S00246,15.8,85.6,72.8,No,Master,Yes
S00247,13.1,67.1,82.7,Yes,High School,Yes
S00248,13.1,40.6,78.3,Yes,Associate,No
S00249,9.9,57.3,43.2,No,Associate,No
S00250,5.5,100,74.9,Yes,Bachelor,Yes
S00251,10.4,41.1,66.5,Yes,High School,No
S00252,6.6,100,54.5,No,Associate,No
S00253,14.9,40.4,49.5,No,Master,No
S00254,9.3,59.5,62.8,Yes,Associate,No
S00255,5.9,67.5,64.8,Yes,Associate,No
S00256,8.4,100,82.2,Yes,High School,Yes
S00257,12.1,75.5,31.2,Yes,Doctorate,No
S00258,7.2,70.7,46.1,Yes,Doctorate,No
S00259,5.9,56.3,67.9,No,Associate,No
S00260,11.2,85.4,62.9,No,Bachelor,No
S00261,7.5,70.4,58.1,Yes,Master,No
S00262,11.2,89.4,41.2,Yes,Associate,No
S00263,2.8,90.2,96.5,No,Bachelor,Yes
S00264,3,57.2,71.3,No,Master,No
S00265,6.4,62.5,71.9,No,Bachelor,No
S00266,8.9,60.5,49,No,Master,No
S00267,17.4,93.1,72.7,No,Associate,Yes
S00268,14.3,78.9,59.7,Yes,Bachelor,No
S00269,9.2,31.2,69,Yes,Bachelor,No
S00270,5,48,44.9,Yes,Associate,No
S00271,9.9,60.7,81.7,Yes,High School,No
S00272,11.6,73.3,78.6,Yes,Master,Yes
S00273,5.9,92.5,52.4,No,Doctorate,No
S00274,17.7,55.7,59.2,Yes,Doctorate,No
S00275,9.5,68.8,61.8,No,High School,No
S00276,12,94.5,76.4,Yes,Master,Yes
S00277,13.5,87.6,89.5,Yes,Associate,Yes
S00278,10.1,97.9,61,Yes,Doctorate,No
S00279,10.5,90.8,66.3,Yes,Master,No
S00280,10.1,90.7,49.5,No,Doctorate,No
S00281,20.8,71.6,65.7,No,Bachelor,No
S00282,6.2,62.5,64.3,No,High School,No
S00283,14.4,78.4,72.8,No,Associate,Yes
S00284,20.9,79.4,62.6,No,Doctorate,No
S00285,6,86.1,26.4,Yes,Associate,No
S00286,5.8,69.1,49.2,No,Associate,No
S00287,7,60.3,81.1,Yes,High School,No
S00288,7.4,90.4,85,No,Associate,Yes
S00289,6.2,76.6,58.4,Yes,Associate,No
S00290,10.8,71.5,60.1,No,Doctorate,No
S00291,11.7,98.4,76.1,No,Bachelor,Yes
S00292,19.4,49.2,74,Yes,Doctorate,No
S00293,7.1,55.7,65.6,Yes,Bachelor,No
S00294,5.5,88.1,64.2,No,Associate,No
S00295,12.5,30.5,47.7,Yes,High School,No
S00296,3.4,91.1,56,No,Bachelor,No
S00297,19.2,90.3,69,Yes,Master,No
S00298,15.9,56.5,61.7,No,High School,No
S00299,7.7,76.3,79,No,High School,Yes
S00300,16.8,83.6,79.2,Yes,Bachelor,Yes
S00301,7,96.9,55.7,Yes,Bachelor,No
S00302,10.2,84.9,46.5,No,Doctorate,No
S00303,7.7,86.4,41.7,Yes,Associate,No
S00304,4.7,78.6,69,Yes,Master,No
S00305,9.3,82,73,No,Associate,Yes
S00306,10.6,71.3,63.1,Yes,Doctorate,No
S00307,4.4,81.1,64.7,Yes,Master,No
S00308,2.3,71.8,64.6,No,Doctorate,No
S00309,6.3,77.9,58.9,No,Bachelor,No
S00310,17.8,78.4,60.3,Yes,High School,No
S00311,10.6,78.6,31.7,Yes,Bachelor,No
S00312,15.9,67.7,30.8,Yes,Bachelor,No
S00313,10.3,46.8,64,No,Bachelor,No
S00314,20.3,100,77.5,No,Bachelor,Yes
S00315,8.8,100,91.2,Yes,Bachelor,Yes
S00316,14.9,53.5,60.8,No,Bachelor,No
S00317,13.2,100,52.3,Yes,High School,No
S00318,16.8,100,43.6,Yes,Doctorate,No
S00319,5.2,95.9,66.5,No,Associate,No
S00320,1.2,58.1,65.7,No,High School,No
S00321,8.7,63.1,65.4,Yes,Master,No
S00322,13.6,81.3,46.7,No,Associate,No
S00323,1.5,86,63.1,Yes,High School,No
S00324,9.7,90,70.2,Yes,Bachelor,Yes
S00325,11.9,91.3,60.5,Yes,Bachelor,No
S00326,9.8,80,54.2,Yes,High School,No
S00327,3.5,69,56.3,Yes,Master,No
S00328,11.8,83.5,80.7,Yes,Doctorate,Yes
S00329,5.3,73.8,67.2,No,Associate,No
S00330,9.7,86.2,50.5,Yes,Bachelor,No
S00331,12.5,87.2,61.9,No,High School,No
S00332,7.3,45.7,55.7,No,Associate,No
S00333,9.5,68.7,74.8,No,Master,Yes
S00334,4.8,91.5,54.4,No,Doctorate,No
S00335,7.2,81.7,62.4,No,Master,No
S00336,4,94.7,57.9,No,Associate,No
S00337,19.8,100,50.2,Yes,Master,No
S00338,10.2,59,67.4,No,Doctorate,No
S00339,6.5,93.9,36.8,No,Associate,No
S00340,11.1,88.7,50.6,Yes,High School,No
S00341,8.9,89.1,51.4,Yes,Doctorate,No
S00342,13.1,87,48.7,No,High School,No
S00343,7.3,93.4,60.6,Yes,High School,No
S00344,7.1,100,59.4,No,Associate,No
S00345,8.6,58.6,64.8,No,Master,No
S00346,2.4,100,71.1,Yes,Master,Yes
S00347,16.8,35.8,52.9,Yes,Master,No
S00348,18.2,73.3,65.9,Yes,Doctorate,No
S00349,8.8,78,61.1,Yes,High School,No
S00350,12.9,71.5,63.4,Yes,Associate,No
S00351,11.6,100,58.1,No,High School,No
S00352,25.4,84.5,53,No,High School,No
S00353,9.4,62.3,57.9,Yes,Master,No
S00354,5.2,80.6,69.5,Yes,Master,No
S00355,2,98.3,79.2,No,High School,Yes
S00356,2.9,61.1,99.8,Yes,Bachelor,No
S00357,6.8,82.5,37.7,No,Associate,No
S00358,18.4,60.5,80.8,Yes,Master,No
S00359,14.4,95.5,93.7,No,Associate,Yes
S00360,10,100,86.8,No,Associate,Yes
S00361,17.4,76,69.7,No,Doctorate,No
S00362,10.4,81,58.5,Yes,Master,No
S00363,5.7,52.9,60.9,No,Associate,No
S00364,17.6,89.7,71,Yes,Bachelor,Yes
S00365,4.8,68.5,73,Yes,Doctorate,Yes
S00366,5.6,100,47.4,Yes,High School,No
S00367,3.1,82.7,69.2,Yes,Bachelor,No
S00368,3,79.6,78.1,Yes,Master,Yes
S00369,12.8,76.2,68.9,Yes,Bachelor,No
S00370,6.7,94.6,88.2,Yes,Associate,Yes
S00371,5.7,100,68.7,Yes,Doctorate,No
S00372,10.2,72.4,53.1,No,Associate,No
S00373,5.8,66.5,40.8,Yes,Doctorate,No
S00374,11.4,48.2,82.9,No,Master,No
S00375,9.7,78.9,62.1,No,Doctorate,No
S00376,8.8,81.3,85.2,No,High School,Yes
S00377,5.5,100,66.6,Yes,Associate,No
S00378,7.1,82.4,69.2,No,Doctorate,No
S00379,13.8,68.9,73.7,Yes,Doctorate,Yes
S00380,12.5,83.1,62.2,No,Bachelor,No
S00381,10.5,92.8,68.6,Yes,Master,No
S00382,13.8,87.4,83.7,No,Master,Yes
S00383,12.7,63.4,65.3,Yes,High School,No
S00384,6.7,54.3,58.8,No,High School,No
S00385,12.9,51.2,63.2,No,High School,No
S00386,6.2,82.9,52,Yes,Bachelor,No
S00387,1,85,50.3,Yes,Bachelor,No
S00388,1.9,96.9,61.4,No,Master,No
S00389,11.3,96,75.9,No,Associate,Yes
S00390,5.5,72.4,48.1,No,High School,No
S00391,13.2,90.4,65.2,Yes,Associate,No
S00392,9.7,73.8,50.3,No,High School,No
S00393,6.7,75.6,76.4,No,Associate,Yes
S00394,10.2,99.5,64.1,Yes,Bachelor,No
S00395,5.7,76.4,34.7,No,Associate,No
S00396,8.1,89.4,76.6,Yes,Master,Yes
S00397,15,80.5,66.3,Yes,High School,No
S00398,4.4,98.6,63.1,Yes,High School,No
S00399,12.6,89.3,69.7,Yes,Master,No
S00400,17.2,62.6,80.4,No,Associate,No
S00401,6,79.1,58.2,Yes,Doctorate,No
S00402,12.9,63.4,78.3,Yes,Associate,No
S00403,9,71.5,80.7,Yes,High School,Yes
S00404,10.4,73.1,72.5,No,Bachelor,Yes
S00405,15.8,58.3,64.8,No,Master,No
S00406,11.3,69.5,64.6,No,Associate,No
S00407,7.9,62.7,72.1,No,High School,No
S00408,7.6,70.7,81.4,No,Bachelor,Yes
S00409,7.8,100,50.4,No,High School,No
S00410,12,40,54.1,No,High School,No
S00411,11.4,59.3,43.2,No,High School,No
S00412,20.4,100,57,No,Associate,No
S00413,14.4,71.4,97.5,No,High School,Yes
S00414,8,82,39.1,No,Associate,No
S00415,5,32.8,80.9,Yes,Master,No
S00416,0.6,51,47.5,No,Doctorate,No
S00417,8.2,100,65.7,No,High School,No
S00418,10.1,44.8,84.1,Yes,High School,No
S00419,18.4,75.2,57.5,No,High School,No
S00420,11.6,65.3,58.1,Yes,Associate,No
S00421,8.9,62.2,75.4,Yes,Doctorate,No
S00422,13.9,100,30.4,Yes,Bachelor,No
S00423,2.6,83.5,71.3,No,Master,Yes
S00424,11.7,80.2,71.8,No,Bachelor,Yes
S00425,7.9,91.1,62.8,Yes,Doctorate,No
S00426,10.9,100,87.5,Yes,High School,Yes
S00427,11.2,62.7,100,Yes,Associate,No
S00428,7.7,97.8,55.5,No,Bachelor,No
S00429,14.2,62.8,72,No,Bachelor,No
S00430,5.7,79.7,52.9,Yes,Doctorate,No
S00431,10.4,81,64.5,Yes,High School,No
S00432,7.6,72.2,90.9,Yes,Master,Yes
S00433,15.2,61.2,67.2,No,Bachelor,No
S00434,5.1,57.9,52.6,No,Master,No
S00435,7.8,96.2,64.4,No,High School,No
S00436,11.9,72.9,54.7,No,Doctorate,No
S00437,13.8,100,55.9,No,Associate,No
S00438,5.4,79.5,62.8,No,High School,No
S00439,14.3,95.8,50.7,Yes,Bachelor,No
S00440,16.8,70.8,59.4,Yes,Doctorate,No
S00441,12.1,61.8,75.3,Yes,Doctorate,No
S00442,6.1,100,53.4,No,Doctorate,No
S00443,3.8,73.2,76.8,No,Associate,Yes
S00444,9.7,74.1,77.7,Yes,High School,Yes
S00445,11.4,55,59.9,No,Doctorate,No
S00446,4.4,74.8,93.4,Yes,Doctorate,Yes
S00447,10.6,80.9,75.2,No,Master,Yes
S00448,10.5,78.7,41.3,Yes,Doctorate,No
S00449,13.6,89.5,49.8,No,Master,No
S00450,6,89.7,62.7,Yes,Doctorate,No
S00451,19.4,70.3,84.6,Yes,Master,Yes
S00452,16.7,84.4,54.6,Yes,Master,No
S00453,18,74.3,59.3,No,Bachelor,No
S00454,7.4,69.4,44.2,No,Master,No
S00455,5.1,78.1,58.4,No,Doctorate,No
S00456,9.4,78.3,68.6,Yes,Doctorate,No
S00457,10.3,52.9,65.6,No,Master,No
S00458,1.5,100,80,No,High School,Yes
S00459,17.6,55.4,67.5,Yes,Master,No
S00460,1.7,100,78.8,Yes,Master,Yes
S00461,14.1,70.4,77,Yes,High School,Yes
S00462,10.4,76.2,100,No,Master,Yes
S00463,3.5,83.5,66.8,No,Associate,No
S00464,18.3,78.7,64,No,Doctorate,No
S00465,2.5,37.7,73.8,No,Associate,No
S00466,9.7,87.3,66.6,Yes,Bachelor,No
S00467,8.8,47.8,62.6,Yes,Bachelor,No
S00468,13.5,100,43,No,High School,No
S00469,15.6,60.9,74.1,No,Associate,No
S00470,4.5,57.7,68.6,No,Master,No
S00471,22.9,60.1,64.8,Yes,High School,No
S00472,10.3,91.4,67.6,No,Bachelor,No
S00473,10.1,98.3,60.9,No,High School,No
S00474,9.9,50.2,66.7,No,Doctorate,No
S00475,9.3,38.2,58.9,No,Master,No
S00476,7.1,80.5,69.6,No,Doctorate,No
S00477,9.8,39.4,70.8,No,Associate,No
S00478,7.3,54.7,96,Yes,High School,No
S00479,10.5,91.9,37.5,Yes,Bachelor,No
S00480,8.7,56.2,83.1,No,Associate,No
S00481,17.5,100,96.4,No,Bachelor,Yes
S00482,15.5,100,65.1,No,Master,No
S00483,16.2,84.4,55.3,Yes,Associate,No
S00484,8.3,82.4,64.8,No,High School,No
S00485,3,89.2,39.3,No,Doctorate,No
S00486,18.8,57,79.2,Yes,Master,No
S00487,14.7,73.4,47.8,No,Associate,No
S00488,16.4,61.7,74.4,Yes,Associate,No
S00489,4.4,100,58.5,No,Master,No
S00490,7.4,87.5,77.7,Yes,Doctorate,Yes
S00491,3.9,96.5,42.5,Yes,Bachelor,No
S00492,13.6,87.4,66.1,Yes,High School,No
S00493,8.8,100,55.1,No,Bachelor,No
S00494,8.1,33.1,44.4,Yes,Doctorate,No
S00495,12.2,61,69.3,No,Associate,No
S00496,8.2,47.5,66.8,Yes,High School,No
S00497,15.8,77.3,72.6,No,High School,Yes
S00498,4.6,78.2,35.1,Yes,Doctorate,No
S00499,13.1,100,53.6,No,Master,No
S00500,13,93.1,69.2,No,Associate,No
S00501,8.5,64.8,80.5,Yes,Bachelor,No
S00502,14.6,77.8,54.8,No,High School,No
S00503,9.1,76.8,55.8,No,Doctorate,No
S00504,7.4,57,59.4,No,Bachelor,No
S00505,15.2,71,63.8,Yes,Master,No
S00506,6.5,61.1,38.4,No,High School,No
S00507,2.2,88.5,64.5,Yes,Associate,No
S00508,3.6,85.2,53.5,No,Associate,No
S00509,18.5,66.9,67.2,No,Doctorate,No
S00510,11.1,70.6,67.1,No,Master,No
S00511,9.5,57.6,64.5,No,Master,No
S00512,7.3,96.1,65.2,Yes,Master,No
S00513,12,71,75.2,No,High School,Yes
S00514,9.8,90.3,89.3,No,High School,Yes
S00515,15.5,47,87.4,No,Doctorate,No
S00516,10.6,61.2,48.7,No,High School,No
S00517,10.8,92.2,33.3,Yes,Doctorate,No
S00518,8.2,92.5,73,No,Bachelor,Yes
S00519,11.5,81.1,64.1,No,Associate,No
S00520,1.4,81.6,70.7,No,High School,Yes
S00521,3.3,60.8,61.3,No,Bachelor,No
S00522,10.9,43.4,47.9,No,Bachelor,No
S00523,11.7,75.6,93.3,Yes,Master,Yes
S00524,7.3,76.6,58,Yes,Associate,No
S00525,6.1,71.5,100,No,High School,Yes
S00526,11,85.7,36.6,Yes,Associate,No
S00527,5.1,86.7,57.4,Yes,Associate,No
S00528,12,90.8,67.7,No,Bachelor,No
S00529,1.5,77.5,26.7,Yes,Associate,No
S00530,15.1,67.2,87.8,No,Bachelor,Yes
S00531,12.4,63.9,54.6,No,High School,No
S00532,11.3,53.9,65.5,Yes,Doctorate,No
S00533,14.9,66.9,71.7,No,Associate,Yes
S00534,18.3,62.9,41.1,No,Bachelor,No
S00535,15.1,100,100,Yes,Doctorate,Yes
S00536,0.8,54.1,67,Yes,Doctorate,No
S00537,3.6,95.7,59.9,Yes,Associate,No
S00538,10.1,70.9,68.1,No,Associate,No
S00539,10.9,59,86,Yes,Bachelor,No
S00540,6.2,50.2,82.5,Yes,High School,No
S00541,6.9,67.4,56.7,Yes,High School,No
S00542,3,56.8,60.8,Yes,Bachelor,No
S00543,5.4,100,73.1,Yes,Bachelor,Yes
S00544,3.2,63.3,82.7,No,Master,No
S00545,5.1,27.4,100,Yes,High School,No
S00546,15.3,68.3,89.4,Yes,Master,Yes
S00547,5.3,91.1,51,No,High School,No
S00548,23.2,100,76.3,Yes,Associate,Yes
S00549,12.5,70.4,44.2,Yes,Associate,No
S00550,5.7,74.7,47.4,No,Associate,No
S00551,13.5,83.3,47.7,No,Bachelor,No
S00552,7.1,52.4,68.6,No,Doctorate,No
S00553,10.6,70.1,54.6,No,Doctorate,No
S00554,22.8,74,69.3,Yes,Associate,No
S00555,15.7,72.1,72.3,No,Doctorate,Yes
